agency,user_bureau,application_name,year_activated,application_description,database_contents,status,confidentiality,method_of_access,pdf_page
DEPARTMENT OF CORRECTION,,Cashier/Commissary system,1982,This system maintains accounts in a legal trust for inmates. Inmates are legally entitled to weekly access to their accounts which can be debited either towards credit to another inmate or towards purchase of consumer goods from the commissary. Any balance is paid in cash to inmates upon their release from incarceration.,"Inmate reports/statistics, inmates, inmate bank balances, inmate purchases, commissary inventory.",,,,62
DEPARTMENT OF CORRECTION,,Inmate Information system,1979,"To track inmates from admission to discharge as they are moved to courts and hospitals, etc. Maintains case, warrant, identification, classification and other information.","Inmate reports/statistics; identification; admission/transfer/ discharge: dates, times , locations; cases and warrants; classification; inmate histo~; housing.",,,,62
DEPARTMENT OF CORRECTION,,Inmate Infractions,1990,To maintain a history of infractions of departmental rules by inmates for determination of classification during current and future incarceration.,"Inmates, violent infractions, disciplinary action, inmate reports/statistics.",,,,62
DEPARTMENT OF CORRECTION,,Inmate Intake Honitorinq System,1989,"To ensure that all newly admitted inmates are qiven a medical examination and are assiqned a bed within 24 hours, accordinq to leqal requirements.","Inmate reports/statistics, new admission inmates, admission date/time, housinq date/time.",,,,63
DEPARTMENT OF CORRECTION,,Inmate Overload Trackinq system,1990,"To ensure that inmates who are transferred from one facility to another facility are housed within 12 hours, accordinq to leqal requirements.","Inmate reports/statistics, transfer inmates, transfer date/time, housinq date/time.",,,,63
DEPARTMENT OF CORRECTION,,State Ready trackinq System,1991,To notify New York State Department of Correction of inmates due to be transferred to State Correctional facilities. Inmates are identified by NYSID number.,state ready inmates.,,,,63
DEPARTMENT OF EMPLOYMENT ~,,Jo~ Training and Partnership Act (JTPA) Participants,1968,"This system maintains a dat~ase of DOE participant demographics and transactions for City, and State Reporting, aUdit, and DOE management.","' Jo~ Training and Partnership Act participant demographics, participant transactions., Grants/programs/contracts histories, individuaL participant employment/training 'history (names and ssn's are confidential), jo~ placement statistics.",,,,65
DEPARTMENT OF EMPLOYMENT ~,,JTPA payroll,1968,"Payroll of JTPA Participants'for supplementary stipends and work experience programs. wage, stipend, withholding.","wage, stipend, ,withholding of JTPA participants. Individual participant support payments history (names and ssn's are confidential), grants/programs/contract payment histories.",,,,65
DEPARTMENT OF ENVIRONMENTAL PROTECTION,,Material Safety Data System (MSDS),1987,contains information about New York City located companies that have on their premises hazardous materials above city and federal threshold amounts.,"Facilities within NYC that 'use, store, or manufacture hazardous materials as per SARA/City reportinq requirements. Detailed inventory of chemicals. ,",,,,67
DEPARTMENT OF ENVIRONMENTAL PROTECTION,,Hazardous Materials Response (SRR),1986,contains information about hazardous materials incidents throuqhout New York City responded to by the Department of Environmental Protection.,Hazardous incidents responded to by DEP/HAZHAT.,,,,67
DEPARTMENT OF ENVIRONMENTAL PROTECTION,,Sewer Submission Tracking system (SSTS),1988,Submissions by private companies of plans to connect to the City sewer system and/or to build private sewer installations.,"Address directory (consultants/applicants/public and p~lic departments/agencies); administrative/manaqement reports; correspondences (identifiable by street/location searches); fee collections/accountinq (review fees for water Board function); inspection reports (records of NYC/DOT inspections, private sewer, NYS/DOT, NYCTA, PDC/EDC); submission-site connection proposal, private drainage proposal, private sewer plans, contract design review: NYC/DOT, NYS/DOT, NYCTA, NYC PDC/EDC, etc. - identifiable by project number, streett location.",,,,67
DEPARTMENT OF ENVIRONMENTAL PROTECTION,,Bureau of Air Resources Management Information system (BARAHIS),1986,"System contains data of two distinct types: Violation data in relation to BAR, NYPD, and DOB; and Application and permit data for BAR. Violation data is processed through the Environmental Control Board while Application/permit data is exclusively the province of BAR.","Building applications/certificates/permits for pollution emitting devices, building code inspections/violations for pollution emitting devices, management reports, noise violations, Buildings Department violations, Environmental Control Board cases adjudicated.",,,,68
DEPARTMENT OF ENVIRONMENTAL PROTECTION,,Automated Violations processing system (AVPS),1980,"AVPS keeps track of sanitation violations. containing all the key dates and locations, the file contains the current status and history of all statuses and important transactions.","Accounts receivable file, collection agency listing file, collection agency history file, collection agency current month activity, notice of violations file, audit file of violations activity, security sign-on file, list of agencies making citations, list of violation codes, holiday table, list of valid transactions.",,,,68
DEPARTMENT OF ENVIRONMENTAL PROTECTION,,Central Computer Assisted Drafting and Design (CADD),1984,"The CADD system contains engineering drawings of water, sewer, waste water treatment plants and related facilities used for reconstruction, maintenance and extension of the city's infrastructure.","Building constructions, sewage treatment drawings, tunnel alignment drawings, treatment plant design drawings, watermain mapping.",,,,69
DEPARTMENT OF ENVIRONMENTAL PROTECTION,,Automated complaint System (DEPACS),1983,"Contains information about complaints called in by the public, relating to water and sewer problems and other environmental complaints, including hazardous material incidents and air pollution incidents.","Air emissions complaints/violations, water related complaints/ repairs (mains, street leaks, hydrants), waste water complaints (sewer backups, manholes), industrial waste complaints (spills, fumes, illegal dumping), noise complaints/violations, hazardous materials complaints, water misuse complaints (drought related), complaints reported by or source, complaint response (inspection/repair), repair history. .",,,,69
DEPARTMENT OF ENVIRONMENTAL PROTECTION,,Bureau of water and Energy Conservation (BWEC) Meters (METERS),1992,"The meters database contains all billing information, including readings of financial information for many years of metered account bills.","Miscellaneous billings, water meters, management reporting. S2",,,,69
DEPARTMENT OF ENVIRONMENTAL PROTECTION,,BWEC Frontaqe (FRONTAGE),1982,MUltiple billinq cycles of financial information for non­ metered frontaqe accounts (both water and sewer).,"Manaqement reportinq, miscellaneous billinqs.",,,,70
DEPARTMENT OF ENVIRONMENTAL PROTECTION,,BWEC Universal Meterinq system (UNS),1989,"Vendor information on potential meter accounts, trackinq installation of meters throuqh inspection and vendor payments.","Miscellaneous billinqs, water meters, manaqement reportinq, vendor file.",,,,70
DEPARTMENT OF ENVIRONMENTAL PROTECTION,,BWEC Jamaica water system (JWS),1980,"Detailed information on water usaqe transactions for Jamaica water metered accounts, enablinq us to produce sewer bills.","sewer billinqs, manaqement reportinq.",,,,70
DEPARTMENT OF FINANCE,,FAIRTAX Taxpayer Identification,1991,Central repository of identification information for entities related to NYC taxes.,"Names, Addresses, SSN/EIN, Tax Account. (Note: All old Department of Finance systems containinq names and addresses will be incorporated into this database.)",R,,,72
DEPARTMENT OF FINANCE,,Match Warrant and Vendor,Unknown,Matches Department of Finance Warrant file to NYC DGS-MUnicipal Supplies file.,NYC vendors and related identification information.,R,,,73
DEPARTMENT OF FINANCE,,Landlord Information Returns,Unknown,System records all office and non-office building responses and changes to owners names and addresses.,Names and Addresses of landlords and Commercial Rent information related to same.,S,,,73
DEPARTMENT OF FINANCE,,FAIRTAX - Returns Processing,1991,"Central system to process all Returns Based Taxes. Depending on tax, system records changes due to Federal and State AUdit, processes annual and quarterly taxpayer liabilities, returns, payments, etc.",Non-Financial and Non-Taxpayer Identification data relating to returns based taxpayers.,R,,,73
DEPARTMENT OF FINANCE,,Commercial Rent Tax,Unknown,Processes the quarterly and annual Commercial Rent Tax.,"Names, Addresses, non-filer information, receivables, correspondence responses, subtenant' returns.",S,,,74
DEPARTMENT OF FINANCE,,Real Property Transfer Tax (RPTT),Unknown,Processes the sales of properties requirinq a RPTT.,"Sales amounts, names, addresses.",S,,,74
DEPARTMENT OF FINANCE,,"Real Property Income , Expense",Unknown,Processes the data filed with Income and Expense forms.,"Names, addresses, income and expense amounts.",S,,,74
DEPARTMENT OF FINANCE,,FAIRTAX - Charge Processing,1991,"Central system to process all Charge Based Taxes. Depending on tax, system records and calculates tax due.",Non-Financial and Non-Taxpayer Identification data relating to Charge based taxpayers.,R,,,75
DEPARTMENT OF FINANCE,,Commercial Motor Vehicle,Unknown,Records tax imposed on the use of Commercial Motor Vehicle and motor vehicle for the transportation of passengers in NYC.,"License plate information, names, addresses, receiVables.",S,,,75
DEPARTMENT OF FINANCE,,Annual Vault Charge,Unknown,"Records and bills annual vault charge imposed for the privilege of accompanying, using or maintaining a vault in the streets of NYC.","Annual charges, vault size, receivables name, addresses.",P,,,75
DEPARTMENT OF FINANCE,,coin Operated Amusement Device (COAD) Charge,Unknown,Records and bills charges for all coin operated amusement devices in NYC.,"Names, addresses, device counts, receiVables, charge data.",S,,,76
DEPARTMENT OF FINANCE,,open Balance system,Unknown,"Accounts ReceiVable and billing processing for all bills and payments for Real Estate, water and Property related taxes, charges and assessments. Both Department of Finance (DOF) and non-DOF charges are processed.",Financial debits and credits by period.,P,,,76
DEPARTMENT OF FINANCE,,Liquor Tax Charge,Unknown,Processes liquor license tax.,"Liquor license billing information, names, addresses.",S S9,,,76
DEPARTMENT OF FINANCE,,Rent stabilization charge,1989,Processes charges on rent controlled units.,"Names, addresses, change data.",P,,,77
DEPARTMENT OF FINANCE,,FAIRTAX - Accounts Receivable,1991,Central repository of all debits and credits relating to NYC taxes.,Financial information and account periods. All taxes will be incorporated into this database.,R,,,77
DEPARTMENT OF FINANCE,,No Good Check Processing,Unknown,Processes data on payment checks to NYC that could not be cashed due to insufficient funds.,"Names, address, dollar amounts.",R,,,77
DEPARTMENT OF FINANCE,,FAIRTAX - Records,1992,will replace the next two subsystems.,See next two subsystems.,P,,,78
DEPARTMENT OF FINANCE,,Mortgage Deed System,Unknown,"Records dates on all legal instruments filed with the City Register inclUding deeds, mortgages and liens.","Names, address, instrument type, instrument, instrument cross reference.",P,,,78
DEPARTMENT OF FINANCE,,Uniform Commercial code/Federal Lien,1989,Records legal debts.,"Names and addresses of debtors, secured parties, cross reference to filing location of documents.",P,,,78
DEPARTMENT OF FINANCE,,FAIRTAX - Case Tracking,1992,Maintains status of all work/taxpayer actions internally tracked within Department of Finance.,"Status, responsible Department of Finance employee, case description.",R,,,79
DEPARTMENT OF FINANCE,,Audit System,Unknown,system tracks taxpayers who have been audited by Department of Finance.,Tracking data relating to taxpayer who have not paid amounts due after notification of liability.,S,,,79
DEPARTMENT OF FINANCE,,Tax Commission Tracking,Unknown,Tracks the filing of tax assessment protests and the results of hearings on the protests.,"Names, addresses, protest data, court decision data.",P,,,79
DEPARTMENT OF FINANCE,,Lease Registration,Unknown,Tracks properties for which the City has a lease and reports on taxes owed.,"contract, number, Agency number, names and addresses.",P,,,80
DEPARTMENT OF FINANCE,,In-Rem,Unknown,Processes the In-Rem actions whereby the City takes possession of properties where taxes are in default.,"Names, addresses, property identification data.",P,,,80
DEPARTMENT OF FINANCE,,Installment Agreement,Unknown,Processes agreements whereby a taxpayer pays tax obligation in installments •.,"Terms of agreement, names, addresses, property or related tax data.",R,,,80
DEPARTMENT OF FINANCE,,FAIRTAX - Collections,1992,Central processing billing a collection of all taxes not paid When due.,"Warrants information, account periods.",R,,,81
DEPARTMENT OF FINANCE,,Property System,Unknown,"Records information on property descriptions, exemptions, abatements assessments, remissions.","Abatements, exemptions, revisions, property type, assessment values, names, addresses, EIN/SSN.",R,,,81
FINANCIAL INFORMATION SERVICES AGENCY,,Integrated Financial Hanagement system,1978,"IFHS monitors the bUdget and performs all accounting functions for all City of New York agencies; it is the backbone of the City's financial infrastructure. IFHS processes all of the data concerning the City's bUdgets, accounting and vendor payments, and furnishes the Comptroller with pertinent financial data. simply described, it is a central computerized general ledger for all City agencies.","Financial accounting, accounts receiVable, accounts payable, capital bUdget/expenditures, city vendors, capital construction contracts, purchase contracts, service contracts, financial reporting, vendor payments, purchase requisitions/orders, economic/financial statistics, vendor history.",,,,83
FINANCIAL INFORMATION SERVICES AGENCY,,Payroll Hanagement System,1983,"PHS is a computerized system that prepares the payroll for all city of New York municipal employees; it provides prompt payment of overtime, other premium and retroactive pay and allows accurate and up-to-date City personnel record keeping. PHS is a central and integrated payroll, timekeeping and personnel system for the entire City of New York.","Wage reporting, municipal employees salaries, personnel record, pension payroll, employee transactions, employee overtime, employee attendance, city employee payroll, city employee absence/leave/statistics, address directory, employee absences.",,,,83
FIRE DEPARTMENT,,BZCS 80/Daily-KTD-YTD Fire statistical System (BZS 80),1982,,Fire alarms/dispatches.,,,,85
FIRE DEPARTMENT,,computerized Alarm Assiqnment System (CAAS),1980,,Fire alarms/dispatches.,,,,85
FIRE DEPARTMENT,,critical Information Dispatch system (CIDS),1985,,"Fire alarms/dispatches, fire hazards.",,,,85
FIRE DEPARTMENT,,Kapper Systems (Kapper),1982,,"Buildinq modifications/repairs, computer hardware inventory, manpower schedules.",,,,85
FIRE DEPARTMENT,,Fire Prevention Information Management System (FPIMS),1984,,"Fire licenses/permits, fire code inspections/violations, local law compliance inspections, miscellaneous billings, accounts receiVable.",,,,86
FIRE DEPARTMENT,,Manpower Analysis Reports (HAG),1984,,"Manpower schedules, manpower reports/statistics.",,,,86
FIRE DEPARTMENT,,Daily' Monthly Fire Reports,1980,,Fire alarms/dispatches.,,,,86
FIRE DEPARTMENT,,National Fire Information Reporting system (NFIRS),1978,,Fire alarms/dispatches.,,,,86
FIRE DEPARTMENT,,Starfire (Starfire),1980 . APPLZCATZON DESCRZPTZON,,Fire alarms/dispatches.,,,,87
FIRE DEPARTMENT,,"weighted, Response Zndex (WRZ)",1968,,Fire alarms/dispatches.,,,,87
DEPARTMENT OF GENERAL SERVICES,,capital Funds Monitorinq system (CFHS),1985,"This is an online system with batch support function. The system monitors all capital projects, contracts and chanqe orders on a daily basis. The system will monitor all payments to contractors.",· Contractor payments; capital construction projects; contractors; capital change orders.,,,,89
DEPARTMENT OF GENERAL SERVICES,,Commodity Line Ztem Purchasinq System (CLZPS),1985,"The Commodity Line Ztem purchasinq System (CLZPS) is currently employed by the Department of General Services' Division of Municipal supplies throuqh which approximately $500 million in purchases are processed annually. Major functions within the procurement process which are addressed by CLZPS are: Requisition processinq, Bid Processinq, Bid Tabulation, Bid Award Process, Purchase order/Direct Order Process and Vendor processinq.","All Purchase requisition, bid, contract and purchase order related information includinq vendor database.",,,,89
DEPARTMENT OF GENERAL SERVICES,,Storehouse Znventory,1962,An inventory manaqement system employed by the DGS Central Storehouse which is responsible for the warehousinq and Distribution of items commonly used throuqhout City aqencies.,Znventory; Aqency usaqe data; inventory pricinq; client aqency locations.,,,,89
DEPARTMENT OF GENERAL SERVICES,,Fleet Administration Maintenance Information system (FAMIS),1989,"This system tracks City owned vehicles, their usaqe and maintenance history. The system also keeps track of the vehicle parts inventory. This system was identified ~y the Mayor's Private Sector survey as not ~einq able to meet the chanqinq environment of the Fleet manaqer and the Office of Fleet Administration. The Office of Manaqement Information Systems is currently manaqinq the project to rewrite FAMIS. The new system, Fleet Administration computerized Trackinq System (FACTS), will address all aspects of: equipment manaqement, materials manaqement and enhanced data retrieval.","Vehicle inventory; parts inventory; work orders, maintenance history; labor and downtime data.",,,,90
DEPARTMENT OF GENERAL SERVICES,,Fuel utilization Monitorinq Equipment system (FUMES),1983,This system monitors fuel usaqe of NYC vehicles at City owned pumpinq sites.,"Vehicle fuel usaqe, fuel allocation.",,,,90
DEPARTMENT OF GENERAL SERVICES,,Tenant Accountinq System,1982,"This system ~ills tenants of the Division of Real Property for rent, usaqe and occupancy fees, and other charqes. Bills are sent monthly. Late charqes, if applicable, are calculated monthly and dunninq letters are sent. Includes collections. Interfaces with IPIS for enforcement data.",Tenant descriptive data; premise data; lease financial terms; current ~alances; ~illinq and payment history; collection data; insurance data; enforcement summary data; mUltiple­ property data.,,,,90
DEPARTMENT OF GENERAL SERVICES,,Mortgage Accounting / Sales ReceiVable System,1982,"This system bills for mortgages created as a result of sales conducted by the Division of Real property. Bills are sent monthly. Late charges, if applicable, are calculated monthly and dunning letters are sent. Also tracks receivables resulting from DRP sales, and records defaults.",. Mortgagee descriptive data; premise data; mortgage financial terms; current mortgage ~alances; billing and payment history; current receiVable balances; enforcement data; multiple­ property data.,,,,91
DEPARTMENT OF GENERAL SERVICES,,Integrated Property Information system (IPIS),1985,"This system tracks an inventory of City-owned and City Interest properties. Tracks various DRP and non-DRP processes affecting these properties. Monitors city acquisitions and dispositions. Correlates data with DOF files, Geosupport system, DRP Tenant Accounting system, DRP Mortgage Accounting / Sales ReceiVable system, and HPD Tenant system, and maintains a file of discrepancies between these files. Maintains a central name index of all people doing business in real estate with the City. Inventories all properties leased-in by the City. Records agency needs and tracks the resolution of those needs. supports the City Land Committee meeting schedule.","Property descriptive data; district data; land use regulation data; zoning data; inspection data; management data; actions required; address data; deed data; Fee Title (ownership) data; In Rem process data; condemnation data; negotiated purchase data; other acquisition data; auction data; negotiated sale data; release data; other disposition data; lease-out data; lease-in data; lease enforcement data; restrictions on use; pre-closing obligations; restrictive covenants; easements; jurisdiction/assignments , surrenders; City Land committee requests and meeting history; use data; office data; ulurp data; appraisal data; fencing requests and actions; agency needs; central name index; Dept. of Finance data.",,,,91
DEPARTMENT OF HEALTH,,PC Network To Link Field sites,1987,A system used to capture information on women ~einq served in the department's infant mortality prevention activities.,"Miscellaneous statistics, housinq/population statistics, economic/financial statistics, demoqraphic statistics, proqram reports, prevent~le diseases, other, manaqement reportinq, health records/reports/statistics, health/confidential, education proqrams, children/confidential, child care, ~irth records.",,Public Health Law Sec. 2805-q(3) 10 New York Code Rules' Req. Sec. 751.9(m). civil Practices Law and Rules Sec. 4504(a).,,93
DEPARTMENT OF HEALTH,,BPC Code Enforcement - On-Line MF,1986,A system which accesses ownership data at the Department of Finance for Pest Control Billinq purposes.,"City owned properties, real property ownership, property owners.",,,,93
DEPARTMENT OF HEALTH,,Daycare Master File,1985,Includes information reqardinq day-care centers used in the inspection and requlation of day care centers.,"Child care proqrams, child care, daycare centers.",,,,93
DEPARTMENT OF HEALTH,,Daily Time Sheet - Data Entry Wanq,1985,Inspector's Daily Time Sheet Information.,"Research/planninq, projects/proqrams, buildinq/structure inspections.",,,,94
DEPARTMENT OF HEALTH,,Day Camp Inspection Reports Data Center VS-65,,"Day camp Inspection Report forms, which record the outcome of inspections.","Other complaints, health licenses/permits, environmental inspections/violations, inspection reports, public complaints, health inspections.",,,,94
DEPARTMENT OF HEALTH,,Inspection Report Forms - Data Entry,1985,"Inspection outcomes fo~ restaurants, public health enqineerinq, radiation inspection and other permitted establishments.","Health inspections, public complaints, inspection reports, health licenses/permits, health code inspections/violations, other complaints.",,,,94
DEPARTMENT OF HEALTH,,Retroviroloqy' Immunobioloqy Lab System,1988,Tracks specimens and test results for HIV and related virus testinq.,"Client directory, public assistance/proqram.",,"Public Health Law Sec. 2805-q. 10 New York Codes Rules' Req. Sec. 751.9(m), Part 63, 24-1.2. civil Practice Law and Rules Sec. 4504(a). Public Health Law Article 27-F(a). HYCHC Sec. 11.07. Public Health Law Sec. 206(1)(j).",,95
DEPARTMENT OF HEALTH,,Lead Poisoninq Control System - On-Line,1982,On-line case manaqement system for environmental and medical follow-ups on confirmed cases of Lead Poisoninq and results of Lead Tests.,"City employee skills inventory, child care, reqistrations.",,Public Health Law Sec. 2805-q(3). 10 New York Codes Rules' Req. Sec. 751.9(m). civil Practice Law and Rule Sec. 4504(a). HYCHC Sec. 11.07.,,95
DEPARTMENT OF HEALTH,,Case Trackinq system - ME,1989,contains trackinq information reqardinq autopsies and related medical information.,,,New York City Charter Sec. 557(q).,,95
DEPARTMENT OF HEALTH,,Radioactive Materials License Data Base,1990,Licensinq Process-Trackinq database of requirements for Radiation Licenses.,"Address directory, other complaints, administrative reports, environmental inspections/violations,· health' code inspections/ violations, health licenses/permits, inspection reports, health inspections, publip safety inspections, miscellaneous statistics.",,,,96
DEPARTMENT OF HEALTH,,Tuberculosis Control System - Central,1981,"CICS system that allows user to add, update, display, delete and search TB patients and their contacts by name. This is a case manaqement system that contains demoqraphic, medical, bacterioloqy, susceptibility history.",Reqistrations.,,"Public Health Law Sec. 2805-q(3), Sec. 2221. 10 New York Codes Rules and Reqs. Sec. 751.9(m). civil Practice Law and Rules Sec. 4504(a). 10 NYCRR section 2.17. New York City Health Code Sec. 11.07.",,96
DEPARTMENT OF HEALTH,,AIDS Reporting system,,Medical and case tracking system related to HIV patients.,"Senior citizens care, inmates, geographies/maps, goals/mandates /objectives, research/planning, death certificates, demographic statistics, health records/reports/statistics. CONPIDENTXALITYREQUXREMENTS Public Health Law Sec. 206(i)(j). New York City Health Cod. Sec. 11.07(a)(2). 10 New York Codes Rules and Regulations Sec. 24-1.2 and 63.1 et seq. Public Health Law Article 27-F(a).",,,,97
DEPARTMENT OF HEALTH,,Births On-Line Record Retrieval,1981,An on-line system for accessing confidential Birth Records data required for the issuance of Birth Records certification to the individual.,Birth records.,,Administrative Code 17-169. Health Code Sec. 201.07.,,97
DEPARTMENT OF HEALTH,,Induced Termination,1971,Confidential Information regarding the circumstances for an induced termination of pregnancy.,Immigration statistics.,,Health Code Sec. 203.07(c).,,97
DEPARTMENT OF HEALTH,,Lab Improvements STD,,"Results of Lab Inspections, includinq personnel qualifications and adherence to standards, for the issuance of Lab permits.","Health inspections, dataline reporting system, registrations, financial reportinq, child care proqrams, child care.",,,,98
DEPARTMENT OF HEALTH,,Handicapped Children,1950,Invoice information containing medical and payment information for service to handicapped children; does not inclUde identifying information.,Handicapped children.,,,,98
DEPARTMENT OF HEALTH,,Hepatitis,,A confidential record of persons who tested positive for hepatitis.,Health/confidential.,,Public Health Law section 2805-g(3) 10 New York Codes Rules' Reg. Sec. 751.9(m). civil Practice Law and Rule 4504(a). Health Code Sec. 11.07.,,98
DEPARTMENT OF HEALTH,,Diagnostic Zmmunology Proficiency Testing,1987,"system contains records of patients enrolled in Department of Health Clinics, records of individual visits and records of provider services. System is also used for medicaid billing, and maintains records of payments and accounts receiVable.","Accounts receiVable, financial accounting, administrative reports, aUdits, fee collections/accounting, health records/ reports/statistics, management reporting, revenue collection, demographic statistics, economic/financial statistics, medicaid program. CONFZDENTZALZTYREQUZREHENTS Public Health Law section 2805-g(3). 10 Bew York Codes Rules' Reg. Sec. 751.9(m). civil Practice Law' Rules Sec. 4504(a). 42 CFR Sec. 431.300 et seq. Public Officers Law Article 6-A. Social Services Law Sec. 369(3)",,,,99
DEPARTMENT OF HEALTH,,Permit On-Line System,1976,An on-line record of permitted establishments and individuals.,"Daycare centers, vendor licenses/permits, health licenses/ permits.",,Public Health Law Section 2805-q(3). 10 New York Codes Rules' Req. Sec. 751.9(m). civil Practice Law and Rules Sec. 4504 (A).,,100
DEPARTMENT OF HEALTH,,"vital Records , statistics",,Updates birth certification file and death on-line lookup file; prints birth and death reqisters and statistical reports; produces monthly tapes for Federal and State aqencies.,"Child care, miscellaneous statistics, death certificates, birth records, administrative reports.",,"Public Health Law Sec. 2805-q(3) 10 New York Codes Rules and Req. Sec. 751.9(m). Health Code Sees. 201.07, 205.07, and 207.11. New York City Administrative Code Sec. 17-169.",,100
DEPARTMENT OF HEALTH,,Preventable Disease,1982,A PC-based systea for trackinq reported information reqardinq approximately 80 communicable diseases.,Preventable diseases.,,"Public Health Law Sec. 28,05-q(3). 10 New York Codes Rules' Req. Sec. 751.9(m). civil Practice Law and Rules Sec. 4504(a). Health Code Sec. 11.07.",,101
DEPARTMENT OF HEALTH,,sexually Transmitted Disease On-Line System,1984,"A syphilis reqistry, keepinq patient histories, includinq tests, diaqnoses, and treatments, for on-line use.",contaqious diseases.,,Public Health Law Sec. 2805-q(3). 10 New York Codes Rules' Req. Sec. 751.9(m). Civil Practice Law and Rule Sec. 4504(a). 10 NYCRR Sec. 2.32. Health Code Sec. 11.07(a)(2). Public Health Law Sec. 2306.,,101
DEPARTMENT OF HEALTH,,Venereal Disease,1950,"A file of cases of sexually transmitted diseases, for batch processing.",Preventable diseases.,,"Public Health Law Sec. 28,05-g(3). 10 New York Codes Rules and Regs. Sec. 751.9(m). civil Practice Law and Rules Sec. 4504(a). 10 NYCRR Sec. 2.32. Health Code Sec. 11.07(a) (2). Public Health Law Sec. 2306.",,102
DEPARTMENT OF HEALTH,,Prevention of Perinatal Aids Transmission,1989,Tracks medical treatment of infants born with HIV virus.,"Miscellaneous statistics, demographic statistics, research/ planning, grants/specific funded programs.",,Public Health Law Sec. 2805-g(3). 10 New York Codes Rules and Regs. Sec. 751.9(m). civil Practice Law and Rules Sec. 4504(a). Public Health Code Sec. 206(1) (j). 10 NYCRR Sec. 24-1.2. Public Health Law Article Sec. 27-F (a). 10 NYCRR Part 63.,,102
DEPARTMENT OF HEALTH,,vital statistics Special Request On-Line MF,,"Tapes created for Federal, State, other aqencies and institutions. Reports are usually listinqs of selected data.","Health records/reports/statistics, death certificates, research/planninq.",,"Names Confidential. Public Health Law Sec. 2805-G(3). 10 NYCRR Sec. 751.9(m). New York Administrative Code Sec. 17-169. Health Code Sec. 201.07, 205.07, and 207.11.",,103
DEPARTMENT OF JUVENILE JUSTICE,,custody Control system,1983,"and DATABASE CONTENTS Inter-agency ~illings, child care, inmates, juvenile delinquent reports/statistics, juvenile delinquent, transportation, other.",,,"New York State Social services Law, section 372 (4) (A).",,109
DEPARTMENT OF JUVENILE JUSTICE,,Food services Inventory,1989,"This application keeps track of past, current inventory levels, amounts received, and amounts issued for all specified food items utilized at the Spofford Juvenile Center.",Inventory.,,,,109
DEPARTMENT OF JUVENILE JUSTICE,,Non-Secure Detention Inventory Tracking System,1989,"This application keeps track of past, current inventory levels, amounts received, and amounts issued for all specified items, for example, furniture, food, office supplies, personal hygiene supplies.",Inventory.,,,,109
DEPARTMENT OF JUVENILE JUSTICE,,Plant Management Inventory,1989,"This application keeps track of past, current inventory levels, amounts received, and amounts issued for all specified items relating to plant management, such as, carpentry and electrical items.",Inventory.,,,,110
DEPARTMENT OF JUVENILE JUSTICE,,Property Management/Fiscal Business Inventory,1989,"This application keeps track of past, current inventory levels, amounts received, and amounts issued for all specified items relating to fiscal and business inventory.",Inventory.,,,,110
DEPARTMENT OF JUVENILE JUSTICE,,Sneaker Inventory,1989,This application keeps track of all sneakers issued to residents at the spofford Juvenile Center.,Inventory.,,,,110
DEPARTMENT OF JUVENILE JUSTICE,,Visitor system,1983,"and DATABASE CONTENTS Visitors. COHFXDENTXALXTY REQUXREMENTS New York state Social Services Law, section 372 (4).",,,,,111
DEPARTMENT OF JUVENILE JUSTICE,,DJJ Fund Xnc.,1987,"This application keeps track of the type, date acquired, and amount of the following hardware, modems, monitors, printers, CPUs, keyboards, telecommunication lines, and the associated vendors, and maintenance contracts, for all users, work units, and sites at the Department of Juvenile Justice.",Balance sheet by grantor.,,,,111
DEPARTMENT OF JUVENILE JUSTICE,,Property Management Expenditures Tracking System,1988,"This application keeps track of purchase order, storehouse, and xmprest Fund expenditures for the property Management department of Spofford Juvenile Center.","Balance sheet, management reporting/control.",,,,111
DEPARTMENT OF JUVENILE JUSTICE,,Volunteers Database,1990,"This application provides an address directory for all volunteers to the Department of Juvenile Justice, and keeps track of the number of hours, type of task, and the site of each volunteer's participation. DATDASE CO~E~S Volunteers, address directory, street name and address/Geo­ support.",,,,,112
OFFICE OF LABOR RELATIONS,,PREMIUM ACCOUNTING/CENTRALENROLLMENT SYSTEM RETIREE (PACES),1985,Processes health and Medicare reimbursement information for retired City employees.,"City retiree health information, Medicare reimbursement check information, rate tables for health insurance.",,,,114
OFFICE OF LABOR RELATIONS,,PREMIUM ACCOUNTING/CONTROLENROLLMENT SYSTEM/ACTIVE (PACES II),1990,Processes health information for City employees.,City active health information rate tables for health insurance.,,,,114
LANDMARKS PRESERVATION COMMISSION,,Permit Application Trackinq System (PATS),1987,This system tracks all work permit applications received and issued since 1987.,"Landmark requlatory actions, work applications filed for desiqnated buildinqs.",,,,116
LAW DEPARTMENT,,citylaw,1984,Legal research and retrieval system.,"contains the full text of Hayoral Directives and Executive Orders, formal opinions of the corporation Counsel, the opinions of the New York City Conflicts of Interest Board, and other Law Department material having precedential value. The contents of Citylaw are generally available in hard copy form through law libraries.",,,,118
LAW DEPARTMENT,,"city of New York, Workers' compensation System",1985,"Workers' compensation claims data, including claimant data, injury information, medical findings, payment transactions, worker's compensation providers, and various coding tables for locations, agencies, injuries, occupations, and payment rates.",,,,,118
